,Country Name,Continent,Country Code,years,Population,CO2,GDP/cap,AE,CO2_abs,CO2_abs_new
84,Azerbaijan,Asia,AZE,1990,7175200,7.453450775,1234.530889,,53480,5.348
85,Azerbaijan,Asia,AZE,1995,7684850,4.225196328,314.5612263,,32470,3.247
86,Azerbaijan,Asia,AZE,2000,8048600,3.440349875,655.1199452,98.90822601,27690,2.769
87,Azerbaijan,Asia,AZE,2005,8391850,3.579663711,1578.40239,99.22159576,30040.00092,3.004000092
88,Azerbaijan,Asia,AZE,2010,9054332,2.684902593,5843.533768,99.94379425,24309.99947,2.430999947
89,Azerbaijan,Asia,AZE,2015,9649341,3.292452869,5500.310382,100,31770.00046,3.177000046
90,Azerbaijan,Asia,AZE,2019,10024283,3.542397828,4805.753718,100,35509.99832,3.550999832
91,Burundi,Africa,BDI,1990,5438959,0.031255981,208.1466789,,170,0.017
92,Burundi,Africa,BDI,1995,5987044,0.033405467,167.0988878,,200,0.02
93,Burundi,Africa,BDI,2000,6378871,0.040759564,136.4639708,2.463236809,260,0.026
94,Burundi,Africa,BDI,2005,7364857,0.020366995,151.6815663,3.207317114,150.000006,0.015000001
95,Burundi,Africa,BDI,2010,8675606,0.034579718,234.2355389,5.300000191,300.0000119,0.030000001
96,Burundi,Africa,BDI,2015,10160034,0.039369948,305.5111441,8.427652359,400.000006,0.040000001
97,Burundi,Africa,BDI,2019,11530577,0.062442671,223.8628757,11.35652828,720.0000286,0.072000003
98,Belgium,Europe,BEL,1990,9967379,10.96677472,20600.37528,100,109310,10.931
99,Belgium,Europe,BEL,1995,10136811,11.30237113,28413.82644,100,114570,11.457
100,Belgium,Europe,BEL,2000,10251250,11.43958054,23098.88651,100,117270,11.727
101,Belgium,Europe,BEL,2005,10478617,10.55578237,36809.70134,100,110610.0006,11.06100006
102,Belgium,Europe,BEL,2010,10895586,9.794792242,44184.94635,100,106720.0012,10.67200012
103,Belgium,Europe,BEL,2015,11274196,8.437851999,41008.29672,100,95129.99725,9.512999725
104,Belgium,Europe,BEL,2019,11488980,8.095583954,46599.11134,100,93010.00214,9.301000214
105,Benin,Africa,BEN,1990,4978489,0.066285172,393.686768,,330,0.033
106,Benin,Africa,BEN,1995,5905552,0.050799654,367.3877143,,300,0.03
107,Benin,Africa,BEN,2000,6865946,0.206817822,512.673902,21.53108406,1420,0.142
108,Benin,Africa,BEN,2005,7982223,0.363307326,822.7851431,26.20980453,2900.000095,0.29000001
109,Benin,Africa,BEN,2010,9199254,0.525042566,1036.534515,34.20000076,4829.999924,0.482999992
110,Benin,Africa,BEN,2015,10575962,0.520992816,1076.796698,29.62000084,5510.000229,0.551000023
111,Benin,Africa,BEN,2019,11801151,0.618583746,1219.515506,40.32868958,7300.000191,0.730000019
112,Burkina Faso,Africa,BFA,1990,8811033,0.056747035,351.9792335,,500,0.05
113,Burkina Faso,Africa,BFA,1995,10089880,0.056492248,235.8321506,6.625332832,570,0.057
114,Burkina Faso,Africa,BFA,2000,11607951,0.080978977,255.7186873,9.075019836,940,0.094
115,Burkina Faso,Africa,BFA,2005,13421935,0.078975196,457.9334308,11.25432777,1059.999943,0.105999994
116,Burkina Faso,Africa,BFA,2010,15605211,0.146745851,647.8360955,13.10000038,2289.999962,0.228999996
117,Burkina Faso,Africa,BFA,2015,18110616,0.204300066,653.3272681,16.07697487,3700.000048,0.370000005
118,Burkina Faso,Africa,BFA,2019,20321383,0.246046246,796.1152068,18.37485504,5000,0.5
119,Bangladesh,Asia,BGD,1990,103171957,0.111658248,306.2687008,,11520,1.152
120,Bangladesh,Asia,BGD,1995,115169933,0.1437007,329.4240761,18.33804512,16550,1.655
121,Bangladesh,Asia,BGD,2000,127657862,0.169593942,418.0689421,32,21650,2.165
122,Bangladesh,Asia,BGD,2005,139035505,0.235263641,499.4619402,44.22999954,32709.99908,3.270999908
123,Bangladesh,Asia,BGD,2010,147575433,0.342739986,781.1535777,55.25999832,50580.00183,5.058000183
124,Bangladesh,Asia,BGD,2015,156256287,0.461997426,1248.45331,74.90373993,72190.00244,7.219000244
125,Bangladesh,Asia,BGD,2019,163046173,0.556529455,2154.226819,92.19999695,90739.99786,9.073999786
126,Bulgaria,Europe,BGR,1990,8718289,8.443170443,2366.529821,100,73610,7.361
127,Bulgaria,Europe,BGR,1995,8406067,6.528617961,2258.286018,100,54880,5.488
128,Bulgaria,Europe,BGR,2000,8170172,5.3144536,1621.242961,100,43420,4.342
129,Bulgaria,Europe,BGR,2005,7658972,6.265854174,3899.907638,100,47990.00168,4.799000168
130,Bulgaria,Europe,BGR,2010,7395599,6.049544016,6853.002854,100,44740.00168,4.474000168
131,Bulgaria,Europe,BGR,2015,7177991,6.207865317,7074.681023,100,44560.00137,4.456000137
132,Bulgaria,Europe,BGR,2019,6975761,5.61085728,9879.268533,100,39139.99939,3.913999939
133,Bahrain,Asia,BHR,1990,495927,21.65641314,8529.052127,99.94139862,10740,1.074
134,Bahrain,Asia,BHR,1995,563698,24.01995395,10376.9533,100,13540,1.354
135,Bahrain,Asia,BHR,2000,664610,23.8937121,13636.41675,100,15880,1.588
136,Bahrain,Asia,BHR,2005,889157,23.26923202,17959.39683,100,20690.00053,2.069000053
137,Bahrain,Asia,BHR,2010,1240864,20.92896507,20722.07049,100,25969.99931,2.596999931
138,Bahrain,Asia,BHR,2015,1371853,22.29101801,22634.08565,100,30579.99992,3.057999992
139,Bahrain,Asia,BHR,2019,1641164,20.26610279,23552.37995,100,33259.99832,3.325999832
140,"Bahamas, The",Americas,BHS,1990,256227,7.649467074,12356.231,100,1960,0.196
141,"Bahamas, The",Americas,BHS,1995,280179,7.852123107,12238.60461,100,2200,0.22
142,"Bahamas, The",Americas,BHS,2000,298045,7.48209163,27098.15632,100,2230,0.223
143,"Bahamas, The",Americas,BHS,2005,324848,6.495345193,30279.39221,100,2109.999895,0.21099999
144,"Bahamas, The",Americas,BHS,2010,354936,5.860211203,28443.88848,100,2079.999924,0.207999992
145,"Bahamas, The",Americas,BHS,2015,374200,5.905932758,31699.35863,100,2210.000038,0.221000004
146,"Bahamas, The",Americas,BHS,2019,389486,7.291661097,33872.33431,100,2839.999914,0.283999991
147,Bosnia and Herzegovina,Europe,BIH,1990,4463422,5.370319006,,100,23970,2.397
148,Bosnia and Herzegovina,Europe,BIH,1995,3829049,0.880114096,487.4769045,100,3370,0.337
149,Bosnia and Herzegovina,Europe,BIH,2000,3751176,3.721499604,1484.176057,100,13960,1.396
150,Bosnia and Herzegovina,Europe,BIH,2005,3765332,4.310376759,2980.601267,100,16229.99954,1.622999954
151,Bosnia and Herzegovina,Europe,BIH,2010,3705478,5.624105757,4635.5102,100,20840.00015,2.084000015
152,Bosnia and Herzegovina,Europe,BIH,2015,3429362,5.721181036,4729.690054,99.69999695,19620.00084,1.962000084
153,Bosnia and Herzegovina,Europe,BIH,2019,3300998,6.382918043,6119.762351,100,21069.99969,2.106999969
154,Belarus,Europe,BLR,1990,10189348,9.797486552,2124.767944,100,99830,9.983
155,Belarus,Europe,BLR,1995,10193831,5.654400196,1370.699283,100,57640,5.764
156,Belarus,Europe,BLR,2000,9979610,5.304816521,1276.288034,100,52940,5.294
157,Belarus,Europe,BLR,2005,9663915,5.875465459,3125.810535,100,56779.99878,5.677999878
158,Belarus,Europe,BLR,2010,9483836,6.50264283,6033.686239,100,61669.99817,6.166999817
159,Belarus,Europe,BLR,2015,9461076,5.79426692,5967.052204,100,54819.99969,5.481999969
160,Belarus,Europe,BLR,2019,9419758,6.122237765,6837.717826,100,57669.99817,5.766999817
161,Belize,Americas,BLZ,1990,187554,1.759493266,2197.161593,,330,0.033
162,Belize,Americas,BLZ,1995,206962,2.222630241,2997.760458,74.91539764,460,0.046
163,Belize,Americas,BLZ,2000,247310,1.819578666,3364.491731,79,450,0.045
164,Belize,Americas,BLZ,2005,283798,1.656107509,3916.355378,83.504776,469.9999988,0.047
165,Belize,Americas,BLZ,2010,322465,1.736622587,4304.111108,89.91722107,560.0000024,0.056
166,Belize,Americas,BLZ,2015,360926,1.884042732,4805.196852,91.80000305,680.0000072,0.068000001
167,Belize,Americas,BLZ,2019,390351,1.639550009,4983.336114,92.72000122,639.9999857,0.063999999
168,Bermuda,Americas,BMU,1990,59326,,26841.51974,100,,0
169,Bermuda,Americas,BMU,1995,59746,,33989.72316,100,,0
170,Bermuda,Americas,BMU,2000,61833,,56284.16865,100,,0
171,Bermuda,Americas,BMU,2005,64154,,75882.03386,100,,0
172,Bermuda,Americas,BMU,2010,65124,,101875.2841,100,,0
173,Bermuda,Americas,BMU,2015,65237,,102005.6256,100,,0
174,Bermuda,Americas,BMU,2019,63911,,116153.1661,100,,0
175,Bolivia,Americas,BOL,1990,6864839,1.516423036,709.0599791,,10410,1.041
176,Bolivia,Americas,BOL,1995,7622334,1.125639469,880.9926836,64.09152985,8580,0.858
177,Bolivia,Americas,BOL,2000,8418270,0.975259762,997.5817508,69.96304321,8210,0.821
178,Bolivia,Americas,BOL,2005,9232301,1.088569382,1034.311806,68.28820801,10050.00019,1.005000019
179,Bolivia,Americas,BOL,2010,10048597,1.509663496,1955.460181,87.88631439,15170.00008,1.517000008
180,Bolivia,Americas,BOL,2015,10869732,1.909890716,3035.971655,91.52281952,20760.00023,2.076000023
181,Bolivia,Americas,BOL,2019,11513102,1.940398005,3552.068144,95.08000183,22340.00015,2.234000015
182,Brazil,Americas,BRA,1990,149003225,1.328159172,2622.262881,87.475116,197900,19.79
183,Brazil,Americas,BRA,1995,162019889,1.489199885,4748.388208,91.728598,241280,24.128
184,Brazil,Americas,BRA,2000,174790339,1.794549984,3749.910848,94.391716,313670,31.367
185,Brazil,Americas,BRA,2005,186127108,1.782061764,4790.456566,97.09351349,331690.0024,33.16900024
186,Brazil,Americas,BRA,2010,195713637,2.03322568,11286.07154,98.59999847,397929.9927,39.79299927
187,Brazil,Americas,BRA,2015,204471759,2.373628508,8813.989806,99.71089935,485339.9963,48.53399963
188,Brazil,Americas,BRA,2019,211049519,2.057810839,8876.059836,99.80000305,434299.9878,43.42999878
189,Barbados,Americas,BRB,1990,260933,3.755753393,7711.295456,99.98425293,980,0.098
190,Barbados,Americas,BRB,1995,265955,4.023237014,8335.899293,100,1070,0.107
191,Barbados,Americas,BRB,2000,271511,4.567034116,11268.42006,100,1240,0.124
192,Barbados,Americas,BRB,2005,276320,5.138969156,13822.74175,99.98045349,1419.999957,0.141999996
193,Barbados,Americas,BRB,2010,282131,5.4939016,16056.11685,100,1549.999952,0.154999995
194,Barbados,Americas,BRB,2015,285327,4.451033309,16558.86478,100,1269.999981,0.126999998
195,Barbados,Americas,BRB,2019,287021,4.355082032,18480.05659,100,1250,0.125
196,Brunei Darussalam,Asia,BRN,1990,258714,12.60078697,13607.89027,100,3260,0.326
197,Brunei Darussalam,Asia,BRN,1995,297112,15.48237702,15933.45283,100,4600,0.46
198,Brunei Darussalam,Asia,BRN,2000,333166,14.16711189,18012.50219,100,4720,0.472
199,Brunei Darussalam,Asia,BRN,2005,365112,13.66703853,26105.42203,100,4989.999771,0.498999977
200,Brunei Darussalam,Asia,BRN,2010,388634,18.44923521,35270.64214,100,7170.000076,0.717000008
201,Brunei Darussalam,Asia,BRN,2015,414914,15.42488346,31164.03625,100,6400.000095,0.64000001
